Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C) ,Wind Direction (deg),Wind Speed (kmh)
2017-03-18 08:00:00,1060601.557,1011.86875,44,77.41666667,15.83188622,268.375,5.28125
2017-03-18 09:00:00,1141662.51,1013.41,44,74.33333333,19.36938622,289.375,7.13375
2017-03-18 10:00:00,1195234.881,1013.54,44,74.33333333,21.59438622,285.625,14.72375
2017-03-18 11:00:00,1208175.003,1013.08625,44,76.25,22.38688622,279.375,16.63125
2017-03-18 12:00:00,1216409.319,1013.58875,44,77.91666667,21.39188622,270.75,13.36375
2017-03-18 13:00:00,1211771.529,1013.695,44,76,22.12938622,282,16.0625
2017-03-18 14:00:00,1216184.229,1013.695,44,78.16666667,20.23188622,275.5,16.92375
2017-03-18 15:00:00,1210429.867,1013.695,44,77.58333333,20.46688622,291.875,19.02125
2017-03-18 16:00:00,1200877.598,1013.695,44,77.66666667,19.83688622,289,19.22875
2017-03-18 17:00:00,1169031.238,1011.4275,44,79.91666667,19.56188622,272.25,17.79125
2017-03-18 18:00:00,1150271.29,1010.19875,44,81.66666667,18.61938622,265.75,14.075
2017-03-18 19:00:00,1126710.733,1010.315,44,82.58333333,17.84938622,270,14.98375
2017-03-18 20:00:00,1109004.815,1010.3175,44,83.25,17.69938622,277.875,9.07875
2017-03-18 21:00:00,1095988.835,1011.50375,44,86.41666667,17.22688622,277.875,10.22375
2017-03-18 22:00:00,1075547.204,1011.635,44,89,15.96188622,274.875,9.32
2017-03-18 23:00:00,1049039.526,1011.635,44,89.33333333,15.76188622,238.125,7.76875
2017-03-19 00:00:00,1021744.294,1011.635,44,89.66666667,15.50438622,245.875,7.27375
2017-03-19 01:00:00,999585.8826,1011.635,44,92.25,13.97438622,283.625,5.94
2017-03-19 02:00:00,977538.6448,1010.73375,44,92.58333333,13.75188622,127.5,6.3325
2017-03-19 03:00:00,966271.969,1010.56,44,92,13.91688622,131,0.94375
2017-03-19 04:00:00,957773.5011,1010.64,44,92.58333333,13.75188622,131,0
2017-03-19 05:00:00,956473.4691,1010.51,44,92.25,13.72188622,149,0.46
2017-03-19 06:00:00,941449.4733,1011.22125,40.875,90.25,13.47188622,202.5,3.335
2017-03-19 07:00:00,935907.8093,1011.315,22,93,12.22188622,192.625,4.5725
2017-03-19 08:00:00,960497.5669,1011.72375,19,90.33333333,13.90938622,138.875,5.66875
2017-03-19 09:00:00,987858.2006,1013.15625,16.5,81,17.34438622,131.75,7.99375
2017-03-19 10:00:00,1012382.688,1013.27,2.375,73.75,21.42438622,262.375,13.54875
2017-03-19 11:00:00,1029778.864,1012.555,0,73.5,23.35438622,277.625,16.6975
2017-03-19 12:00:00,1034794.902,1012.8525,0,72.33333333,22.97688622,270.375,15.485
2017-03-19 13:00:00,1026072.756,1012.965,0,68.33333333,24.46938622,283.625,19.67
2017-03-19 14:00:00,1026203.916,1011.0725,0,66.08333333,24.57938622,281.375,20.49125
2017-03-19 15:00:00,1025117.762,1010.0575,0,69.25,23.51188622,284.25,16.74125
2017-03-19 16:00:00,1019965.67,1010.155,0.5,71.33333333,22.68438622,289.5,18.985
2017-03-19 17:00:00,1014069.372,1009.27875,3.75,72.75,21.57438622,277.75,15.03375
